device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,64,1,nvfp4,8,4096,3072,0.0302,0.0015,6.6576,42.4825,15.67,210.6243,15.67
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,128,1,nvfp4,128,6144,4096,0.0380,0.0011,169.6811,600.5481,28.25,379.7387,28.25
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,128,1,nvfp4,128,4096,4096,0.0368,0.0010,116.8126,595.1377,19.63,263.7981,19.63
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,128,1,nvfp4,16,6144,4096,0.0367,0.0007,21.9214,84.4761,25.95,348.7665,25.95
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,128,1,nvfp4,16,4096,3072,0.0304,0.0016,13.2452,83.9394,15.78,212.0758,15.78
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,256,1,nvfp4,256,6144,4096,0.0378,0.0008,340.7983,1000.0000,34.08,429.8807,31.99
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,256,1,nvfp4,256,4096,4096,0.0371,0.0006,231.3102,1000.0000,23.13,296.4791,22.06
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,256,1,nvfp4,32,6144,4096,0.0368,0.0013,43.7667,165.9806,26.37,354.3931,26.37
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,256,1,nvfp4,32,4096,3072,0.0309,0.0036,26.0516,163.9213,15.89,213.5983,15.89
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,1024,1,nvfp4,1024,6144,4096,0.0835,0.0011,617.0930,1000.0000,61.71,326.4245,24.29
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,1024,1,nvfp4,1024,4096,4096,0.0673,0.0006,510.6977,1000.0000,51.07,280.5346,20.87
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,1024,1,nvfp4,128,6144,4096,0.0380,0.0008,169.6811,600.5481,28.25,379.7387,28.25
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,1024,1,nvfp4,128,4096,3072,0.0313,0.0007,103.0331,574.4373,17.94,241.0645,17.94
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,4096,1,nvfp4,4096,6144,4096,0.2491,0.0013,827.4935,1000.0000,82.75,286.2018,21.29
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,4096,1,nvfp4,4096,4096,4096,0.1792,0.0011,767.0954,1000.0000,76.71,280.9187,20.90
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,4096,1,nvfp4,512,6144,4096,0.0546,0.0008,472.3204,1000.0000,47.23,365.1566,27.17
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,4096,1,nvfp4,512,4096,3072,0.0422,0.0013,305.0403,1000.0000,30.50,266.8606,19.86
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,4099,1,nvfp4,4099,6144,4096,0.2563,0.0009,804.8901,1000.0000,80.49,278.3481,20.71
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,4099,1,nvfp4,4099,4096,4096,0.1799,0.0017,764.5167,1000.0000,76.45,279.9402,20.83
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,4099,1,nvfp4,512,6144,4096,0.0544,0.0009,473.8490,1000.0000,47.38,366.3383,27.26
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,4099,1,nvfp4,512,4096,3072,0.0426,0.0006,302.7468,1000.0000,30.27,264.8541,19.71
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,5000,1,nvfp4,5000,6144,4096,0.3049,0.0013,825.3904,1000.0000,82.54,276.3661,20.56
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,5000,1,nvfp4,5000,4096,4096,0.2119,0.0008,791.7964,1000.0000,79.18,281.2269,20.92
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,5000,1,nvfp4,625,6144,4096,0.0690,0.0013,456.1671,1000.0000,45.62,312.3972,23.24
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,5000,1,nvfp4,625,4096,3072,0.0425,0.0011,369.8420,1000.0000,36.98,290.9014,21.64
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,8192,1,nvfp4,8192,6144,4096,0.4690,0.0011,879.1554,1000.0000,87.92,277.2402,20.63
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,8192,1,nvfp4,8192,4096,4096,0.3224,0.0012,852.7259,1000.0000,85.27,286.2544,21.30
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,8192,1,nvfp4,1024,6144,4096,0.0831,0.0004,620.5405,1000.0000,62.05,328.2481,24.42
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,8192,1,nvfp4,1024,4096,3072,0.0546,0.0012,472.3205,1000.0000,47.23,297.8909,22.16
